manipu,check_1,check_2,exist_1_r,exist_2_r,exist_3_r,exist_4,exist_5,dark_1,dark_2_r,age,gender,exist_1,exist_2,exist_3,dark_2,check,exist,dark
0,4,4,2,4,4,4,4,2,6,17,0,4,2,2,2,4.00,3.20,2.00
0,4,4,4,4,3,2,1,2,6,19,0,2,2,3,2,4.00,2.00,2.00
0,1,1,1,1,1,4,4,2,6,19,0,5,5,5,2,1.00,4.60,2.00
0,3,2,3,3,2,4,4,3,6,20,0,3,3,4,2,2.50,3.60,2.50
0,2,2,2,2,2,3,3,3,4,20,1,4,4,4,4,2.00,3.60,3.50
0,1,1,3,2,1,3,4,2,5,20,1,3,4,5,3,1.00,3.80,2.50
0,5,5,4,4,4,3,3,2,5,21,1,2,2,2,3,5.00,2.40,2.50
0,3,2,3,4,3,3,2,2,6,21,1,3,2,3,2,2.50,2.60,2.00
0,1,1,4,3,3,3,4,1,6,21,0,2,3,3,2,1.00,3.00,1.50
0,2,2,1,2,2,2,2,2,5,21,1,5,4,4,3,2.00,3.40,2.50
0,1,1,1,1,1,5,5,2,6,21,0,5,5,5,2,1.00,5.00,2.00
0,1,1,1,1,1,4,5,1,4,21,0,5,5,5,4,1.00,4.80,2.50
0,2,1,2,2,2,4,4,3,6,21,0,4,4,4,2,1.50,4.00,2.50
0,1,1,2,1,1,4,4,2,6,21,0,4,5,5,2,1.00,4.40,2.00
0,1,1,2,2,2,5,4,1,6,21,0,4,4,4,2,1.00,4.20,1.50
0,3,2,2,2,2,4,4,2,5,21,0,4,4,4,3,2.50,4.00,2.50
0,1,1,2,1,1,4,4,1,6,21,0,4,5,5,2,1.00,4.40,1.50
0,1,1,2,1,1,4,4,2,5,21,1,4,5,5,3,1.00,4.40,2.50
0,1,1,2,1,1,5,5,2,6,21,0,4,5,5,2,1.00,4.80,2.00
0,1,1,1,1,1,5,5,1,7,21,0,5,5,5,1,1.00,5.00,1.00
0,2,2,3,2,2,4,4,3,6,21,0,3,4,4,2,2.00,3.80,2.50
0,2,1,1,1,1,4,5,2,3,21,0,5,5,5,5,1.50,4.80,3.50
0,1,1,1,1,1,4,4,1,7,21,0,5,5,5,1,1.00,4.60,1.00
0,1,1,1,1,1,5,5,2,5,21,0,5,5,5,3,1.00,5.00,2.50
0,1,1,1,1,1,4,4,3,6,21,0,5,5,5,2,1.00,4.60,2.50
0,1,1,1,1,1,5,5,1,6,21,0,5,5,5,2,1.00,5.00,1.50
0,1,1,1,1,1,1,1,1,7,21,1,5,5,5,1,1.00,3.40,1.00
0,1,1,1,1,1,5,5,2,6,21,1,5,5,5,2,1.00,5.00,2.00
0,2,1,1,1,1,4,4,1,7,21,0,5,5,5,1,1.50,4.60,1.00
0,3,2,2,3,2,3,3,2,5,22,0,4,3,4,3,2.50,3.40,2.50
0,1,1,2,1,1,4,4,1,7,22,0,4,5,5,1,1.00,4.40,1.00
0,2,2,2,4,2,4,2,3,4,22,0,4,2,4,4,2.00,3.20,3.50
0,1,1,1,2,1,5,5,3,4,22,1,5,4,5,4,1.00,4.80,3.50
0,1,1,1,1,1,4,4,1,6,22,0,5,5,5,2,1.00,4.60,1.50
0,2,1,2,2,2,3,3,1,7,22,0,4,4,4,1,1.50,3.60,1.00
0,2,2,2,2,1,2,3,3,6,22,0,4,4,5,2,2.00,3.60,2.50
0,3,1,1,1,1,2,3,2,5,22,0,5,5,5,3,2.00,4.00,2.50
0,3,2,2,2,2,3,3,3,4,22,0,4,4,4,4,2.50,3.60,3.50
0,4,1,1,1,1,2,2,1,6,22,1,5,5,5,2,2.50,3.80,1.50
0,2,2,2,2,2,4,4,2,5,22,0,4,4,4,3,2.00,4.00,2.50
0,2,1,2,2,1,4,4,1,6,22,1,4,4,5,2,1.50,4.20,1.50
0,2,2,2,2,2,5,5,1,7,22,0,4,4,4,1,2.00,4.40,1.00
0,1,1,1,1,1,5,5,1,7,22,0,5,5,5,1,1.00,5.00,1.00
0,1,1,1,4,1,4,4,1,7,22,1,5,2,5,1,1.00,4.00,1.00
0,2,2,1,1,1,4,4,2,5,22,0,5,5,5,3,2.00,4.60,2.50
0,1,1,1,1,1,4,4,2,4,22,0,5,5,5,4,1.00,4.60,3.00
0,2,2,1,1,1,4,4,2,5,22,0,5,5,5,3,2.00,4.60,2.50
0,3,2,2,2,2,4,4,1,7,23,1,4,4,4,1,2.50,4.00,1.00
0,1,1,1,1,1,4,4,3,6,23,0,5,5,5,2,1.00,4.60,2.50
0,1,1,1,1,1,4,4,1,7,23,0,5,5,5,1,1.00,4.60,1.00
0,1,1,1,1,1,5,5,1,6,23,0,5,5,5,2,1.00,5.00,1.50
